حجم,ارزش(ریال),بالاترین(ریال),پایین ترین(ریال),آخرین(ریال),اولین(ریال),موقعیتهای باز,درصد تغییر,تعداد مشتریان فعال,تعداد کارگزاران فعال,تعداد خریداران,تعداد فروشندگان,قیمت تسویه (ریال),درصد تغییر قیمت تسویه,تاریخ,تاریخ اعمال,#!ارزش معاملات مشتریان حقیقی(خرید)(ریال),#!ارزش معاملات مشتریان حقیقی(فروش)(ریال),ContractType,StrikePrice,Profitability,ContractDurationDays
1,8300000,8300000,8300000,8300000,8300000,109,0,29,13,1,1,8300000,3.9,1399/01/24,1399/02/30,8300000,8300000,C,62000000,1,37
0,0,0,0,0,0,2,0,2,1,0,0,427152,29.08,1399/01/24,1399/02/30,0,0,P,62000000,0,37
0,0,0,0,0,0,0,0,0,0,0,0,5571180,16.83,1399/01/24,1399/02/30,0,0,C,64000000,1,37
0,0,0,0,0,0,1,0,2,1,0,0,1000000,0.0,1399/01/24,1399/02/30,0,0,P,64000000,0,37
6,39000000,6500000,6500000,6500000,6500000,65,6,22,12,2,2,6500000,30.0,1399/01/24,1399/02/30,39000000,39000000,C,66000000,1,37
0,0,0,0,0,0,0,0,0,0,0,0,1372038,22.45,1399/01/24,1399/02/30,0,0,P,66000000,0,37
1,20200000,20200000,20200000,20200000,20200000,44,-1,17,10,1,1,20200000,6.05,1399/01/25,1399/02/30,20200000,20200000,C,48000000,1,36
0,0,0,0,0,0,38,0,18,8,0,0,19999000,0.0,1399/01/25,1399/02/30,0,0,C,50000000,1,36
5,80619000,16206600,16006200,16200000,16206600,319,-3,51,16,4,1,16123800,11.11,1399/01/25,1399/02/30,80619000,80619000,C,52000000,1,36
0,0,0,0,0,0,4,0,3,3,0,0,99,8.33,1399/01/25,1399/02/30,0,0,P,48000000,0,36
0,0,0,0,0,0,4,0,2,2,0,0,580,5.38,1399/01/25,1399/02/30,0,0,P,50000000,0,36
0,0,0,0,0,0,2,0,2,1,0,0,2700,2.77,1399/01/25,1399/02/30,0,0,P,52000000,0,36
0,0,0,0,0,0,48,0,22,9,0,0,15150025,0.0,1399/01/25,1399/02/30,0,0,C,54000000,1,36
0,0,0,0,0,0,1,0,2,2,0,0,10276,0.76,1399/01/25,1399/02/30,0,0,P,54000000,0,36
0,0,0,0,0,0,16,0,11,6,0,0,12382510,8.28,1399/01/25,1399/02/30,0,0,C,56000000,1,36
0,0,0,0,0,0,0,0,0,0,0,0,32727,0.8,1399/01/25,1399/02/30,0,0,P,56000000,0,36
0,0,0,0,0,0,6,0,4,3,0,0,10475586,2.51,1399/01/25,1399/02/30,0,0,C,58000000,1,36
0,0,0,0,0,0,1,0,2,2,0,0,89041,1.99,1399/01/25,1399/02/30,0,0,P,58000000,0,36
0,0,0,0,0,0,220,0,36,12,0,0,10000069,0.0,1399/01/25,1399/02/30,0,0,C,60000000,1,36
0,0,0,0,0,0,11,0,9,5,0,0,210799,2.83,1399/01/25,1399/02/30,0,0,P,60000000,0,36
1,7500000,7500000,7500000,7500000,7500000,109,0,28,12,1,1,7500000,9.64,1399/01/25,1399/02/30,7500000,7500000,C,62000000,1,36
0,0,0,0,0,0,2,0,2,1,0,0,441552,3.37,1399/01/25,1399/02/30,0,0,P,62000000,0,36
0,0,0,0,0,0,0,0,0,0,0,0,5327649,4.37,1399/01/25,1399/02/30,0,0,C,64000000,1,36
0,0,0,0,0,0,1,0,2,1,0,0,830816,16.92,1399/01/25,1399/02/30,0,0,P,64000000,0,36
6,32500000,6000000,5300000,6000000,5300000,70,5,23,12,2,2,5416667,16.67,1399/01/25,1399/02/30,32500000,32500000,C,66000000,1,36
0,0,0,0,0,0,0,0,0,0,0,0,1423743,3.77,1399/01/25,1399/02/30,0,0,P,66000000,0,36
2,40000000,20000000,20000000,20000000,20000000,42,-2,16,10,1,1,20000000,0.99,1399/01/26,1399/02/30,40000000,40000000,C,48000000,1,35
0,0,0,0,0,0,38,0,18,8,0,0,19999000,0.0,1399/01/26,1399/02/30,0,0,C,50000000,1,35
1,17400000,17400000,17400000,17400000,17400000,319,0,51,16,1,1,17400000,7.92,1399/01/26,1399/02/30,17400000,17400000,C,52000000,1,35
0,0,0,0,0,0,4,0,3,3,0,0,133,34.34,1399/01/26,1399/02/30,0,0,P,48000000,0,35
0,0,0,0,0,0,4,0,2,2,0,0,768,32.41,1399/01/26,1399/02/30,0,0,P,50000000,0,35
0,0,0,0,0,0,2,0,2,1,0,0,3536,30.96,1399/01/26,1399/02/30,0,0,P,52000000,0,35
0,0,0,0,0,0,48,0,22,9,0,0,15150025,0.0,1399/01/26,1399/02/30,0,0,C,54000000,1,35
0,0,0,0,0,0,1,0,2,2,0,0,13277,29.2,1399/01/26,1399/02/30,0,0,P,54000000,0,35
0,0,0,0,0,0,16,0,11,6,0,0,11642007,5.98,1399/01/26,1399/02/30,0,0,C,56000000,1,35
0,0,0,0,0,0,0,0,0,0,0,0,41642,27.24,1399/01/26,1399/02/30,0,0,P,56000000,0,35
0,0,0,0,0,0,6,0,4,3,0,0,9747316,6.95,1399/01/26,1399/02/30,0,0,C,58000000,1,35
0,0,0,0,0,0,1,0,2,2,0,0,111408,25.12,1399/01/26,1399/02/30,0,0,P,58000000,0,35
1,8500000,8500000,8500000,8500000,8500000,219,-1,36,12,1,1,8500000,15.0,1399/01/26,1399/02/30,8500000,8500000,C,60000000,1,35
0,0,0,0,0,0,11,0,9,5,0,0,259106,22.92,1399/01/26,1399/02/30,0,0,P,60000000,0,35
0,0,0,0,0,0,109,0,28,12,0,0,7500000,0.0,1399/01/26,1399/02/30,0,0,C,62000000,1,35
0,0,0,0,0,0,2,0,2,1,0,0,532922,20.69,1399/01/26,1399/02/30,0,0,P,62000000,0,35
0,0,0,0,0,0,0,0,0,0,0,0,4727105,11.27,1399/01/26,1399/02/30,0,0,C,64000000,1,35
0,0,0,0,0,0,1,0,2,1,0,0,984567,18.51,1399/01/26,1399/02/30,0,0,P,64000000,0,35
18,97921600,5990000,5000000,5000000,5850000,84,14,23,13,7,8,5440089,0.43,1399/01/26,1399/02/30,97921600,97921600,C,66000000,1,35
0,0,0,0,0,0,0,0,0,0,0,0,1657306,16.4,1399/01/26,1399/02/30,0,0,P,66000000,0,35
1,19500000,19500000,19500000,19500000,19500000,41,-1,16,10,1,1,19500000,2.5,1399/01/27,1399/02/30,19500000,19500000,C,48000000,1,34
0,0,0,0,0,0,38,0,18,8,0,0,17201488,13.99,1399/01/27,1399/02/30,0,0,C,50000000,1,34
0,0,0,0,0,0,319,0,51,16,0,0,17400000,0.0,1399/01/27,1399/02/30,0,0,C,52000000,1,34
0,0,0,0,0,0,4,0,3,3,0,0,124,6.77,1399/01/27,1399/02/30,0,0,P,48000000,0,34
0,0,0,0,0,0,4,0,2,2,0,0,740,3.65,1399/01/27,1399/02/30,0,0,P,50000000,0,34
0,0,0,0,0,0,2,0,2,1,0,0,3496,1.13,1399/01/27,1399/02/30,0,0,P,52000000,0,34
0,0,0,0,0,0,48,0,22,9,0,0,13283978,12.32,1399/01/27,1399/02/30,0,0,C,54000000,1,34
0,0,0,0,0,0,1,0,2,2,0,0,13388,0.84,1399/01/27,1399/02/30,0,0,P,54000000,0,34
1,11000000,11000000,11000000,11000000,11000000,15,-1,10,6,1,1,11000000,5.51,1399/01/27,1399/02/30,11000000,11000000,C,56000000,1,34
0,0,0,0,0,0,0,0,0,0,0,0,42607,2.32,1399/01/27,1399/02/30,0,0,P,56000000,0,34
4,38000000,10000000,9000000,9000000,10000000,5,-1,5,4,2,1,9500000,2.54,1399/01/27,1399/02/30,38000000,38000000,C,58000000,1,34
0,0,0,0,0,0,1,0,2,2,0,0,115167,3.37,1399/01/27,1399/02/30,0,0,P,58000000,0,34
4,32800000,8800000,8000000,8800000,8000000,216,-3,35,12,2,2,8200000,3.53,1399/01/27,1399/02/30,32800000,32800000,C,60000000,1,34
0,0,0,0,0,0,11,0,9,5,0,0,269638,4.06,1399/01/27,1399/02/30,0,0,P,60000000,0,34
0,0,0,0,0,0,109,0,28,12,0,0,7500000,0.0,1399/01/27,1399/02/30,0,0,C,62000000,1,34
0,0,0,0,0,0,2,0,2,1,0,0,556619,4.45,1399/01/27,1399/02/30,0,0,P,62000000,0,34
0,0,0,0,0,0,0,0,0,0,0,0,4474831,5.34,1399/01/27,1399/02/30,0,0,C,64000000,1,34
0,0,0,0,0,0,1,0,2,1,0,0,1029635,4.58,1399/01/27,1399/02/30,0,0,P,64000000,0,34
4,20400000,5500000,4750000,4750000,5400000,88,4,24,13,3,3,5100000,6.25,1399/01/27,1399/02/30,20400000,20400000,C,66000000,1,34
0,0,0,0,0,0,0,0,0,0,0,0,1732115,4.51,1399/01/27,1399/02/30,0,0,P,66000000,0,34
4,71500000,18000000,17500000,17500000,18000000,38,-3,16,9,2,2,17875000,8.33,1399/01/28,1399/02/30,71500000,71500000,C,48000000,1,33
2,34000000,17000000,17000000,17000000,17000000,36,-2,17,8,1,1,17000000,1.17,1399/01/28,1399/02/30,34000000,34000000,C,50000000,1,33
7,98700000,15000000,13900000,14000000,15000000,319,0,50,15,3,4,14100000,18.97,1399/01/28,1399/02/30,98700000,98700000,C,52000000,1,33
0,0,0,0,0,0,4,0,3,3,0,0,99,20.16,1399/01/28,1399/02/30,0,0,P,48000000,0,33
0,0,0,0,0,0,4,0,2,2,0,0,617,16.62,1399/01/28,1399/02/30,0,0,P,50000000,0,33
0,0,0,0,0,0,2,0,2,1,0,0,3031,13.3,1399/01/28,1399/02/30,0,0,P,52000000,0,33
29,343488300,12870000,11500000,11799000,12870000,41,-7,24,11,10,1,11844424,10.84,1399/01/28,1399/02/30,343488300,343488300,C,54000000,1,33
0,0,0,0,0,0,1,0,2,2,0,0,11989,10.45,1399/01/28,1399/02/30,0,0,P,54000000,0,33
0,0,0,0,0,0,15,0,10,6,0,0,11000000,0.0,1399/01/28,1399/02/30,0,0,C,56000000,1,33
0,0,0,0,0,0,0,0,0,0,0,0,39192,8.02,1399/01/28,1399/02/30,0,0,P,56000000,0,33
1,8999000,8999000,8999000,8999000,8999000,6,1,7,6,1,1,8999000,5.27,1399/01/28,1399/02/30,8999000,8999000,C,58000000,1,33
0,0,0,0,0,0,1,0,2,2,0,0,108273,5.99,1399/01/28,1399/02/30,0,0,P,58000000,0,33
36,247992800,8040000,6499900,6500100,8040000,195,-21,35,13,11,3,6888689,15.99,1399/01/28,1399/02/30,247992800,247992800,C,60000000,1,33
0,0,0,0,0,0,11,0,9,5,0,0,257967,4.33,1399/01/28,1399/02/30,0,0,P,60000000,0,33
6,30500000,5500000,5000000,5500000,5000000,106,-3,28,13,4,3,5083333,32.22,1399/01/28,1399/02/30,30500000,30500000,C,62000000,1,33
0,0,0,0,0,0,2,0,2,1,0,0,556619,0.0,1399/01/28,1399/02/30,0,0,P,62000000,0,33
0,0,0,0,0,0,0,0,0,0,0,0,4422961,1.16,1399/01/28,1399/02/30,0,0,C,64000000,1,33
0,0,0,0,0,0,1,0,2,1,0,0,1009214,1.98,1399/01/28,1399/02/30,0,0,P,64000000,0,33
21,77795000,3800000,3610000,3650000,3750000,103,15,27,14,6,5,3704524,27.36,1399/01/28,1399/02/30,77795000,77795000,C,66000000,1,33
0,0,0,0,0,0,0,0,0,0,0,0,1711062,1.22,1399/01/28,1399/02/30,0,0,P,66000000,0,33
10,175300500,18000500,16500000,16500000,18000000,34,-4,15,9,4,6,17530050,1.93,1399/01/30,1399/02/30,85300500,175300500,C,48000000,1,31
10,150000000,16000000,14000000,14000000,16000000,32,-4,18,8,1,2,15000000,11.76,1399/01/30,1399/02/30,0,150000000,C,50000000,1,31
4,48400000,12500000,11500000,12000000,11500000,318,-1,49,15,2,2,12100000,14.18,1399/01/30,1399/02/30,48400000,48400000,C,52000000,1,31
0,0,0,0,0,0,4,0,3,3,0,0,323,226.26,1399/01/30,1399/02/30,0,0,P,48000000,0,31
0,0,0,0,0,0,4,0,2,2,0,0,1856,200.81,1399/01/30,1399/02/30,0,0,P,50000000,0,31
0,0,0,0,0,0,2,0,2,1,0,0,8337,175.06,1399/01/30,1399/02/30,0,0,P,52000000,0,31
5,56300300,11600000,11000100,11000100,11600000,40,-1,22,9,3,3,11260060,4.93,1399/01/30,1399/02/30,56300300,56300300,C,54000000,1,31
0,0,0,0,0,0,1,0,2,2,0,0,30168,151.63,1399/01/30,1399/02/30,0,0,P,54000000,0,31
0,0,0,0,0,0,15,0,10,6,0,0,11000000,0.0,1399/01/30,1399/02/30,0,0,C,56000000,1,31
0,0,0,0,0,0,0,0,0,0,0,0,90304,130.41,1399/01/30,1399/02/30,0,0,P,56000000,0,31
3,23300000,7850000,7600000,7850000,7600000,6,0,6,5,1,2,7766667,13.69,1399/01/30,1399/02/30,23300000,23300000,C,58000000,1,31
0,0,0,0,0,0,1,0,2,2,0,0,228920,111.43,1399/01/30,1399/02/30,0,0,P,58000000,0,31
59,383259100,7300000,5900000,5910000,7200000,177,-18,36,13,13,5,6495917,5.7,1399/01/30,1399/02/30,383259100,383259100,C,60000000,1,31
0,0,0,0,0,0,11,0,9,5,0,0,502028,94.61,1399/01/30,1399/02/30,0,0,P,60000000,0,31
27,137087900,6666600,5000000,5000000,5050000,90,-16,30,11,7,7,5077330,0.12,1399/01/30,1399/02/30,137087900,137087900,C,62000000,1,31
0,0,0,0,0,0,2,0,2,1,0,0,971070,74.46,1399/01/30,1399/02/30,0,0,P,62000000,0,31
0,0,0,0,0,0,0,0,0,0,0,0,2909358,34.22,1399/01/30,1399/02/30,0,0,C,64000000,1,31
0,0,0,0,0,0,1,0,2,1,0,0,1686302,67.09,1399/01/30,1399/02/30,0,0,P,64000000,0,31
82,270133000,3800000,3000000,3000200,3800000,175,72,32,15,8,8,3294305,11.07,1399/01/30,1399/02/30,255133000,270133000,C,66000000,1,31
0,0,0,0,0,0,0,0,0,0,0,0,2671893,56.15,1399/01/30,1399/02/30,0,0,P,66000000,0,31
2,30000000,15000000,15000000,15000000,15000000,34,0,15,9,1,1,15000000,14.43,1399/01/31,1399/02/30,0,30000000,C,48000000,1,30
0,0,0,0,0,0,32,0,18,8,0,0,15000000,0.0,1399/01/31,1399/02/30,0,0,C,50000000,1,30
16,200427900,12979000,12000000,12000000,12979000,308,-10,49,15,5,5,12526744,3.53,1399/01/31,1399/02/30,140427900,200427900,C,52000000,1,30
0,0,0,0,0,0,4,0,3,3,0,0,607,87.93,1399/01/31,1399/02/30,0,0,P,48000000,0,30
0,0,0,0,0,0,4,0,2,2,0,0,3318,78.77,1399/01/31,1399/02/30,0,0,P,50000000,0,30
0,0,0,0,0,0,2,0,2,1,0,0,14172,69.99,1399/01/31,1399/02/30,0,0,P,52000000,0,30
6,65000000,11000000,10000000,10000000,11000000,35,-5,22,9,2,2,10833333,3.79,1399/01/31,1399/02/30,65000000,65000000,C,54000000,1,30
0,0,0,0,0,0,1,0,2,2,0,0,48781,61.7,1399/01/31,1399/02/30,0,0,P,54000000,0,30
0,0,0,0,0,0,15,0,10,6,0,0,8063552,26.69,1399/01/31,1399/02/30,0,0,C,56000000,1,30
0,0,0,0,0,0,0,0,0,0,0,0,138984,53.91,1399/01/31,1399/02/30,0,0,P,56000000,0,30
0,0,0,0,0,0,6,0,6,5,0,0,7766667,0.0,1399/01/31,1399/02/30,0,0,C,58000000,1,30
0,0,0,0,0,0,1,0,2,2,0,0,335818,46.7,1399/01/31,1399/02/30,0,0,P,58000000,0,30
21,112081800,5620000,5000000,5620000,5000800,168,-9,34,12,9,3,5337229,17.84,1399/01/31,1399/02/30,83981800,112081800,C,60000000,1,30
0,0,0,0,0,0,11,0,9,5,0,0,703420,40.12,1399/01/31,1399/02/30,0,0,P,60000000,0,30
21,94205000,5200000,4000000,4500000,5200000,90,0,26,11,8,7,4485952,11.65,1399/01/31,1399/02/30,94205000,94205000,C,62000000,1,30
0,0,0,0,0,0,2,0,2,1,0,0,1303147,34.2,1399/01/31,1399/02/30,0,0,P,62000000,0,30
0,0,0,0,0,0,0,0,0,0,0,0,2221222,23.65,1399/01/31,1399/02/30,0,0,C,64000000,1,30
0,0,0,0,0,0,1,0,2,1,0,0,2174700,28.96,1399/01/31,1399/02/30,0,0,P,64000000,0,30
54,147756200,3200000,2222200,2700000,3200000,209,34,33,15,7,12,2736226,16.94,1399/01/31,1399/02/30,147756200,147756200,C,66000000,1,30
0,0,0,0,0,0,0,0,0,0,0,0,3324087,24.41,1399/01/31,1399/02/30,0,0,P,66000000,0,30
0,0,0,0,0,0,34,0,15,9,0,0,15000000,0.0,1399/02/01,1399/02/30,0,0,C,48000000,1,29
5,82500000,16500000,16500000,16500000,16500000,27,-5,17,8,1,1,16500000,10.0,1399/02/01,1399/02/30,0,82500000,C,50000000,1,29
4,47400100,12000100,11700000,12000100,11700000,308,0,48,15,3,3,11850025,5.4,1399/02/01,1399/02/30,47400100,47400100,C,52000000,1,29
0,0,0,0,0,0,4,0,3,3,0,0,508,16.31,1399/02/01,1399/02/30,0,0,P,48000000,0,29
0,0,0,0,0,0,4,0,2,2,0,0,2911,12.27,1399/02/01,1399/02/30,0,0,P,50000000,0,29
0,0,0,0,0,0,2,0,2,1,0,0,12929,8.77,1399/02/01,1399/02/30,0,0,P,52000000,0,29
1,11000000,11000000,11000000,11000000,11000000,35,0,22,9,1,1,11000000,1.54,1399/02/01,1399/02/30,11000000,11000000,C,54000000,1,29
0,0,0,0,0,0,1,0,2,2,0,0,45896,5.91,1399/02/01,1399/02/30,0,0,P,54000000,0,29
3,26500000,9000000,8500000,9000000,8500000,14,-1,9,6,2,2,8833333,9.55,1399/02/01,1399/02/30,18000000,26500000,C,56000000,1,29
0,0,0,0,0,0,0,0,0,0,0,0,133921,3.64,1399/02/01,1399/02/30,0,0,P,56000000,0,29
0,0,0,0,0,0,6,0,6,5,0,0,7766667,0.0,1399/02/01,1399/02/30,0,0,C,58000000,1,29
0,0,0,0,0,0,1,0,2,2,0,0,329431,1.9,1399/02/01,1399/02/30,0,0,P,58000000,0,29
1,6000000,6000000,6000000,6000000,6000000,168,0,35,12,1,1,6000000,12.42,1399/02/01,1399/02/30,6000000,6000000,C,60000000,1,29
0,0,0,0,0,0,11,0,9,5,0,0,699000,0.63,1399/02/01,1399/02/30,0,0,P,60000000,0,29
3,11500000,4000000,3500000,4000000,3500000,90,0,27,12,3,2,3833333,14.55,1399/02/01,1399/02/30,11500000,11500000,C,62000000,1,29
0,0,0,0,0,0,2,0,2,1,0,0,1306393,0.25,1399/02/01,1399/02/30,0,0,P,62000000,0,29
0,0,0,0,0,0,0,0,0,0,0,0,2221222,0.0,1399/02/01,1399/02/30,0,0,C,64000000,1,29
0,0,0,0,0,0,1,0,2,1,0,0,2192206,0.8,1399/02/01,1399/02/30,0,0,P,64000000,0,29
18,40900000,2500000,2100000,2100000,2300000,226,17,36,15,5,3,2272222,16.96,1399/02/01,1399/02/30,40900000,40900000,C,66000000,1,29
0,0,0,0,0,0,0,0,0,0,0,0,3361102,1.11,1399/02/01,1399/02/30,0,0,P,66000000,0,29
1,17000000,17000000,17000000,17000000,17000000,34,0,14,9,1,1,17000000,13.33,1399/02/02,1399/02/30,17000000,17000000,C,48000000,1,28
0,0,0,0,0,0,27,0,17,8,0,0,16500000,0.0,1399/02/02,1399/02/30,0,0,C,50000000,1,28
2,27800000,13900000,13900000,13900000,13900000,306,-2,48,15,1,1,13900000,17.3,1399/02/02,1399/02/30,0,27800000,C,52000000,1,28
0,0,0,0,0,0,4,0,3,3,0,0,257,49.41,1399/02/02,1399/02/30,0,0,P,48000000,0,28
0,0,0,0,0,0,4,0,2,2,0,0,1637,43.77,1399/02/02,1399/02/30,0,0,P,50000000,0,28
0,0,0,0,0,0,2,0,2,1,0,0,7967,38.38,1399/02/02,1399/02/30,0,0,P,52000000,0,28
0,0,0,0,0,0,35,0,22,9,0,0,11000000,0.0,1399/02/02,1399/02/30,0,0,C,54000000,1,28
0,0,0,0,0,0,1,0,2,2,0,0,30625,33.27,1399/02/02,1399/02/30,0,0,P,54000000,0,28
1,10000000,10000000,10000000,10000000,10000000,15,1,10,6,1,1,10000000,13.21,1399/02/02,1399/02/30,10000000,10000000,C,56000000,1,28
0,0,0,0,0,0,0,0,0,0,0,0,95737,28.51,1399/02/02,1399/02/30,0,0,P,56000000,0,28
1,7200000,7200000,7200000,7200000,7200000,7,1,7,5,1,1,7200000,7.3,1399/02/02,1399/02/30,7200000,7200000,C,58000000,1,28
0,0,0,0,0,0,1,0,2,2,0,0,249844,24.16,1399/02/02,1399/02/30,0,0,P,58000000,0,28
1,6499900,6499900,6499900,6499900,6499900,169,1,35,12,1,1,6499900,8.33,1399/02/02,1399/02/30,6499900,6499900,C,60000000,1,28
0,0,0,0,0,0,11,0,9,5,0,0,557423,20.25,1399/02/02,1399/02/30,0,0,P,60000000,0,28
1,4300000,4300000,4300000,4300000,4300000,91,1,27,12,1,1,4300000,12.17,1399/02/02,1399/02/30,4300000,4300000,C,62000000,1,28
0,0,0,0,0,0,2,0,2,1,0,0,1086613,16.82,1399/02/02,1399/02/30,0,0,P,62000000,0,28
0,0,0,0,0,0,0,0,0,0,0,0,2384411,7.35,1399/02/02,1399/02/30,0,0,C,64000000,1,28
0,0,0,0,0,0,1,0,2,1,0,0,1888028,13.88,1399/02/02,1399/02/30,0,0,P,64000000,0,28
11,26930000,2890000,2010000,2010000,2750000,233,7,37,15,4,4,2448182,7.74,1399/02/02,1399/02/30,26930000,26930000,C,66000000,1,28
0,0,0,0,0,0,0,0,0,0,0,0,2978040,11.4,1399/02/02,1399/02/30,0,0,P,66000000,0,28
0,0,0,0,0,0,34,0,14,9,0,0,17000000,0.0,1399/02/03,1399/02/30,0,0,C,48000000,1,27
0,0,0,0,0,0,27,0,17,8,0,0,16500000,0.0,1399/02/03,1399/02/30,0,0,C,50000000,1,27
1,13999000,13999000,13999000,13999000,13999000,306,0,49,15,1,1,13999000,0.71,1399/02/03,1399/02/30,13999000,13999000,C,52000000,1,27
0,0,0,0,0,0,4,0,3,3,0,0,64,75.1,1399/02/03,1399/02/30,0,0,P,48000000,0,27
0,0,0,0,0,0,4,0,2,2,0,0,486,70.31,1399/02/03,1399/02/30,0,0,P,50000000,0,27
0,0,0,0,0,0,2,0,2,1,0,0,2767,65.27,1399/02/03,1399/02/30,0,0,P,52000000,0,27
1,11999000,11999000,11999000,11999000,11999000,35,0,23,9,1,1,11999000,9.08,1399/02/03,1399/02/30,11999000,11999000,C,54000000,1,27
0,0,0,0,0,0,1,0,2,2,0,0,12265,59.95,1399/02/03,1399/02/30,0,0,P,54000000,0,27
2,20000000,10000000,10000000,10000000,10000000,17,2,10,6,1,1,10000000,0.0,1399/02/03,1399/02/30,20000000,20000000,C,56000000,1,27
0,0,0,0,0,0,0,0,0,0,0,0,43598,54.46,1399/02/03,1399/02/30,0,0,P,56000000,0,27
1,8600000,8600000,8600000,8600000,8600000,8,1,8,5,1,1,8600000,19.44,1399/02/03,1399/02/30,8600000,8600000,C,58000000,1,27
0,0,0,0,0,0,1,0,2,2,0,0,127673,48.9,1399/02/03,1399/02/30,0,0,P,58000000,0,27
0,0,0,0,0,0,169,0,35,12,0,0,6499900,0.0,1399/02/03,1399/02/30,0,0,C,60000000,1,27
0,0,0,0,0,0,11,0,9,5,0,0,315594,43.38,1399/02/03,1399/02/30,0,0,P,60000000,0,27
2,10300000,5200000,5100000,5200000,5100000,93,2,29,12,1,2,5150000,19.77,1399/02/03,1399/02/30,10300000,10300000,C,62000000,1,27
0,0,0,0,0,0,2,0,2,1,0,0,673312,38.04,1399/02/03,1399/02/30,0,0,P,62000000,0,27
1,3300000,3300000,3300000,3300000,3300000,1,0,2,2,1,1,3300000,38.4,1399/02/03,1399/02/30,3300000,3300000,C,64000000,1,27
0,0,0,0,0,0,1,0,2,1,0,0,1265373,32.98,1399/02/03,1399/02/30,0,0,P,64000000,0,27
0,0,0,0,0,0,233,0,37,15,0,0,2448182,0.0,1399/02/03,1399/02/30,0,0,C,66000000,1,27
6,7800400,2000000,500200,1600000,500200,6,0,6,3,2,4,1300067,56.34,1399/02/03,1399/02/30,7800400,7800400,P,66000000,0,27
1,18500000,18500000,18500000,18500000,18500000,33,-1,14,9,1,1,18500000,8.82,1399/02/04,1399/02/30,18500000,18500000,C,48000000,1,26
0,0,0,0,0,0,27,0,17,8,0,0,15672551,5.01,1399/02/04,1399/02/30,0,0,C,50000000,1,26
0,0,0,0,0,0,306,0,49,15,0,0,13999000,0.0,1399/02/04,1399/02/30,0,0,C,52000000,1,26
0,0,0,0,0,0,4,0,3,3,0,0,51,20.31,1399/02/04,1399/02/30,0,0,P,48000000,0,26
0,0,0,0,0,0,4,0,2,2,0,0,413,15.02,1399/02/04,1399/02/30,0,0,P,50000000,0,26
0,0,0,0,0,0,2,0,2,1,0,0,2471,10.7,1399/02/04,1399/02/30,0,0,P,52000000,0,26
0,0,0,0,0,0,35,0,23,9,0,0,11999000,0.0,1399/02/04,1399/02/30,0,0,C,54000000,1,26
0,0,0,0,0,0,1,0,2,2,0,0,11392,7.12,1399/02/04,1399/02/30,0,0,P,54000000,0,26
0,0,0,0,0,0,17,0,10,6,0,0,10000000,0.0,1399/02/04,1399/02/30,0,0,C,56000000,1,26
0,0,0,0,0,0,0,0,0,0,0,0,41756,4.22,1399/02/04,1399/02/30,0,0,P,56000000,0,26
0,0,0,0,0,0,8,0,8,5,0,0,8600000,0.0,1399/02/04,1399/02/30,0,0,C,58000000,1,26
0,0,0,0,0,0,1,0,2,2,0,0,125152,1.97,1399/02/04,1399/02/30,0,0,P,58000000,0,26
8,57596000,7200000,7198000,7200000,7198000,161,-8,34,12,2,2,7199500,10.76,1399/02/04,1399/02/30,57596000,57596000,C,60000000,1,26
0,0,0,0,0,0,11,0,9,5,0,0,314634,0.3,1399/02/04,1399/02/30,0,0,P,60000000,0,26
3,18200000,6200000,6000000,6200000,6000000,96,3,29,12,1,2,6066667,17.8,1399/02/04,1399/02/30,18200000,18200000,C,62000000,1,26
0,0,0,0,0,0,2,0,2,1,0,0,679086,0.86,1399/02/04,1399/02/30,0,0,P,62000000,0,26
0,0,0,0,0,0,1,0,2,2,0,0,3300000,0.0,1399/02/04,1399/02/30,0,0,C,64000000,1,26
0,0,0,0,0,0,1,0,2,1,0,0,1285544,1.59,1399/02/04,1399/02/30,0,0,P,64000000,0,26
14,48600100,3600000,2700000,3550000,2700000,238,5,37,15,3,6,3471436,41.8,1399/02/04,1399/02/30,48600100,48600100,C,66000000,1,26
0,0,0,0,0,0,6,0,6,3,0,0,1300067,0.0,1399/02/04,1399/02/30,0,0,P,66000000,0,26
2,36000000,18000000,18000000,18000000,18000000,33,0,15,9,1,1,18000000,2.7,1399/02/06,1399/02/30,36000000,36000000,C,48000000,1,24
0,0,0,0,0,0,27,0,17,8,0,0,16154809,3.08,1399/02/06,1399/02/30,0,0,C,50000000,1,24
0,0,0,0,0,0,306,0,49,15,0,0,13999000,0.0,1399/02/06,1399/02/30,0,0,C,52000000,1,24
0,0,0,0,0,0,4,0,3,3,0,0,16,68.63,1399/02/06,1399/02/30,0,0,P,48000000,0,24
0,0,0,0,0,0,4,0,2,2,0,0,161,61.02,1399/02/06,1399/02/30,0,0,P,50000000,0,24
0,0,0,0,0,0,2,0,2,1,0,0,1138,53.95,1399/02/06,1399/02/30,0,0,P,52000000,0,24
0,0,0,0,0,0,35,0,23,9,0,0,11999000,0.0,1399/02/06,1399/02/30,0,0,C,54000000,1,24
0,0,0,0,0,0,1,0,2,2,0,0,6066,46.75,1399/02/06,1399/02/30,0,0,P,54000000,0,24
0,0,0,0,0,0,17,0,10,6,0,0,10000000,0.0,1399/02/06,1399/02/30,0,0,C,56000000,1,24
